ori_lng_84,ori_lat_84,des_lng_84,des_lat_84,route_dis,euclidean_dis,turn,cross road,geometry
118.8079795,32.07188062,118.8095126,32.07601239,719,480.466468,3,0,"LINESTRING (118.8079795319873 32.07188061926659, 118.8079791821613 32.07187993674165, 118.8079782847585 32.0718814546587, 118.8079980240457 32.07188784399045, 118.8081164584435 32.07192389107455, 118.8081164584435 32.07192389107455, 118.8080060906072 32.07199353300665, 118.8078328942388 32.07229567998831, 118.8074927794767 32.07292537498737, 118.8074909800873 32.07310590715261, 118.8074909800873 32.07310590715261, 118.807377909294 32.07331787027547, 118.8072585566858 32.07354276782687, 118.8070010057261 32.07402066279266, 118.8069319063718 32.074144483834, 118.8067910153185 32.07440281444249, 118.8066851227295 32.0746026907887, 118.8066133322101 32.07475556864049, 118.8064903932322 32.07504017143714, 118.806428475226 32.0751801767774, 118.806428475226 32.0751801767774, 118.8065882328036 32.07515691678987, 118.8065882328036 32.07515691678987, 118.8067955579427 32.07520619629081, 118.8070567214951 32.07526691412439, 118.8072963339157 32.0753220491904, 118.8074722222709 32.07536491010114, 118.807599647901 32.07539643820927, 118.8076669488555 32.0754126375461, 118.8086404729654 32.07564482808486, 118.8092451350064 32.07578203064246, 118.8093357388847 32.07580247981065, 118.8095582055995 32.07585318642434, 118.8095124782445 32.07601164596441, 118.8095126243092 32.07601238646039)"
118.7973432,32.08333732,118.7982427,32.08436971,680,142.5311101,5,1,"LINESTRING (118.7973431567996 32.08333732288686, 118.7973422747639 32.08333686649716, 118.7972901153691 32.08334813533676, 118.7973171402019 32.08343546179829, 118.7973171402019 32.08343546179829, 118.7961418331668 32.08415906398297, 118.7954861608249 32.08457899333546, 118.7954115072895 32.0846339206607, 118.7955933889879 32.08486078125003, 118.7955933889879 32.08486078125003, 118.7957085253421 32.0848021376525, 118.7958686234322 32.08470536638941, 118.7961600161572 32.08451640878498, 118.796637540915 32.08421719650099, 118.796637540915 32.08421719650099, 118.7968427615641 32.08446195675089, 118.7970812760833 32.08474666694723, 118.7972666804962 32.08496848662062, 118.7974179016745 32.08518867009959, 118.7974179016745 32.08518867009959, 118.797556369378 32.0851295675043, 118.7981318106188 32.08495389012727, 118.7981318106188 32.08495389012727, 118.7979633965788 32.08448486948147, 118.797983107757 32.0843495411366, 118.7980271416788 32.08429466017564, 118.7981395128666 32.08423322012795, 118.7982420943961 32.08436913563943, 118.7982426705092 32.08436970527515)"
118.7973432,32.08333732,118.7978257,32.08515605,565,206.7471815,4,1,"LINESTRING (118.7973431567996 32.08333732288686, 118.7973422747639 32.08333686649716, 118.7972901153691 32.08334813533676, 118.7973171402019 32.08343546179829, 118.7973171402019 32.08343546179829, 118.7961418331668 32.08415906398297, 118.7954861608249 32.08457899333546, 118.7954115072895 32.0846339206607, 118.7955933889879 32.08486078125003, 118.7955933889879 32.08486078125003, 118.7957085253421 32.0848021376525, 118.7958686234322 32.08470536638941, 118.7961600161572 32.08451640878498, 118.796637540915 32.08421719650099, 118.796637540915 32.08421719650099, 118.7968427615641 32.08446195675089, 118.7970812760833 32.08474666694723, 118.7972666804962 32.08496848662062, 118.7974179016745 32.08518867009959, 118.7974962162315 32.08531140534132, 118.7974962162315 32.08531140534132, 118.7975393786453 32.0853001092718, 118.7976149119034 32.08528053683423, 118.7977246054944 32.08523969669655, 118.7978414909846 32.08519966576743, 118.7978477842318 32.08519663373372, 118.7978252791572 32.08515598342193, 118.7978256686216 32.08515605483446)"
118.7973432,32.08333732,118.797827,32.0839356,526,80.54325498,4,1,"LINESTRING (118.7973431567996 32.08333732288686, 118.7973422747639 32.08333686649716, 118.7972901153691 32.08334813533676, 118.7973171402019 32.08343546179829, 118.7973171402019 32.08343546179829, 118.7961418331668 32.08415906398297, 118.7954861608249 32.08457899333546, 118.7954115072895 32.0846339206607, 118.7955933889879 32.08486078125003, 118.7955933889879 32.08486078125003, 118.7957085253421 32.0848021376525, 118.7958686234322 32.08470536638941, 118.7961600161572 32.08451640878498, 118.796637540915 32.08421719650099, 118.796637540915 32.08421719650099, 118.7968427615641 32.08446195675089, 118.7968427615641 32.08446195675089, 118.7968733370341 32.0844482929859, 118.7968967172078 32.08443613466185, 118.7970900506534 32.08433967620972, 118.7971206235538 32.08432448975035, 118.7976034699303 32.08409002087119, 118.7976592123929 32.08405965652736, 118.7978507193504 32.08397481152886, 118.7978264181709 32.08393491815736, 118.7978270115555 32.0839355961016)"
118.7973432,32.08333732,118.7971045,32.08452184,459,133.2618561,6,1,"LINESTRING (118.7973431567996 32.08333732288686, 118.7973422747639 32.08333686649716, 118.7972901153691 32.08334813533676, 118.7973171402019 32.08343546179829, 118.7973171402019 32.08343546179829, 118.7961418331668 32.08415906398297, 118.7954861608249 32.08457899333546, 118.7954115072895 32.0846339206607, 118.7955933889879 32.08486078125003, 118.7955933889879 32.08486078125003, 118.7957085253421 32.0848021376525, 118.7958686234322 32.08470536638941, 118.7961600161572 32.08451640878498, 118.796637540915 32.08421719650099, 118.796637540915 32.08421719650099, 118.7968427615641 32.08446195675089, 118.7968427615641 32.08446195675089, 118.7968733370341 32.0844482929859, 118.7968967172078 32.08443613466185, 118.7968967172078 32.08443613466185, 118.7970137492797 32.08462247313517, 118.7970137492797 32.08462247313517, 118.7971297417803 32.0845555790469, 118.7971036398407 32.08452181681214, 118.797104470922 32.08452183957152)"
118.7973432,32.08333732,118.7977689,32.08378128,523,63.54885057,4,1,"LINESTRING (118.7973431567996 32.08333732288686, 118.7973422747639 32.08333686649716, 118.7972901153691 32.08334813533676, 118.7973171402019 32.08343546179829, 118.7973171402019 32.08343546179829, 118.7961418331668 32.08415906398297, 118.7954861608249 32.08457899333546, 118.7954115072895 32.0846339206607, 118.7955933889879 32.08486078125003, 118.7955933889879 32.08486078125003, 118.7957085253421 32.0848021376525, 118.7958686234322 32.08470536638941, 118.7961600161572 32.08451640878498, 118.796637540915 32.08421719650099, 118.7973910387717 32.08373337526607, 118.7973910387717 32.08373337526607, 118.7975107239975 32.0838700516026, 118.7975476181668 32.08391075537592, 118.7975476181668 32.08391075537592, 118.7977822847594 32.08380159723399, 118.7977687847928 32.08378088024228, 118.7977688690285 32.08378127982447)"
118.7973432,32.08333732,118.7981342,32.08357288,565,79.10878905,4,1,"LINESTRING (118.7973431567996 32.08333732288686, 118.7973422747639 32.08333686649716, 118.7972901153691 32.08334813533676, 118.7973171402019 32.08343546179829, 118.7973171402019 32.08343546179829, 118.7961418331668 32.08415906398297, 118.7954861608249 32.08457899333546, 118.7954115072895 32.0846339206607, 118.7955933889879 32.08486078125003, 118.7955933889879 32.08486078125003, 118.7957085253421 32.0848021376525, 118.7958686234322 32.08470536638941, 118.7961600161572 32.08451640878498, 118.796637540915 32.08421719650099, 118.7973910387717 32.08373337526607, 118.7973910387717 32.08373337526607, 118.7975107239975 32.0838700516026, 118.7975476181668 32.08391075537592, 118.7975476181668 32.08391075537592, 118.7981661754059 32.08362281290267, 118.798133778337 32.08357216213086, 118.7981341509845 32.08357288260424)"
118.7973432,32.08333732,118.793604,32.08690568,588,530.2384945,5,1,"LINESTRING (118.7973431567996 32.08333732288686, 118.7973422747639 32.08333686649716, 118.7972901153691 32.08334813533676, 118.7973171402019 32.08343546179829, 118.7973171402019 32.08343546179829, 118.7961418331668 32.08415906398297, 118.7954861608249 32.08457899333546, 118.7954115072895 32.0846339206607, 118.7955933889879 32.08486078125003, 118.7955933889879 32.08486078125003, 118.7955259235414 32.08489276394359, 118.7954629551745 32.08492323060548, 118.7953433123392 32.08498036303599, 118.7953433123392 32.08498036303599, 118.7952939288597 32.08517077006642, 118.7952084902104 32.08525246916683, 118.7951590276972 32.08530440273152, 118.7950609747253 32.08536237372469, 118.7950042978639 32.08539058482375, 118.7949854070233 32.08540279453836, 118.7949629169338 32.08541576377727, 118.7947703989949 32.08553022860961, 118.7945796816153 32.08566003422498, 118.7945796816153 32.08566003422498, 118.7948048159122 32.08590287425604, 118.7948048159122 32.08590287425604, 118.7947526368389 32.08593263639568, 118.7943837681944 32.08614486873618, 118.7942407104468 32.08622659033918, 118.793900582215 32.08640459808089, 118.7934200380078 32.08665537857285, 118.7934200380078 32.08665537857285, 118.7936038398628 32.0869055970634, 118.7936039769622 32.08690567794115)"
118.7973432,32.08333732,118.7946691,32.08694857,593,473.3542591,6,2,"LINESTRING (118.7973431567996 32.08333732288686, 118.7973422747639 32.08333686649716, 118.7972901153691 32.08334813533676, 118.7973171402019 32.08343546179829, 118.7973171402019 32.08343546179829, 118.7961418331668 32.08415906398297, 118.7954861608249 32.08457899333546, 118.7954115072895 32.0846339206607, 118.7955933889879 32.08486078125003, 118.7955933889879 32.08486078125003, 118.7955259235414 32.08489276394359, 118.7954629551745 32.08492323060548, 118.7953433123392 32.08498036303599, 118.7953433123392 32.08498036303599, 118.7952939288597 32.08517077006642, 118.7952084902104 32.08525246916683, 118.7951590276972 32.08530440273152, 118.7950609747253 32.08536237372469, 118.7950042978639 32.08539058482375, 118.7949854070233 32.08540279453836, 118.7949629169338 32.08541576377727, 118.7947703989949 32.08553022860961, 118.7945796816153 32.08566003422498, 118.7945796816153 32.08566003422498, 118.7948048159122 32.08590287425604, 118.7948966805656 32.08602313267971, 118.7951146700319 32.08637696753807, 118.7951587969688 32.08643136837209, 118.7951777091501 32.086455885879, 118.7951867190582 32.08647426458704, 118.7951750355432 32.0864979604187, 118.7951750355432 32.0864979604187, 118.795081492161 32.08656741400132, 118.7950212182745 32.08659714799845, 118.7949879459043 32.08663534611604, 118.7950348045676 32.08673794618252, 118.7950735304374 32.08678697844275, 118.7950735304374 32.08678697844275, 118.7946929872806 32.08698301024728, 118.7946686662859 32.08694854850649, 118.7946691084552 32.08694856755709)"
118.7973432,32.08333732,118.7975576,32.08375136,486,50.17529217,3,1,"LINESTRING (118.7973431567996 32.08333732288686, 118.7973422747639 32.08333686649716, 118.7972901153691 32.08334813533676, 118.7973171402019 32.08343546179829, 118.7973171402019 32.08343546179829, 118.7961418331668 32.08415906398297, 118.7954861608249 32.08457899333546, 118.7954115072895 32.0846339206607, 118.7955933889879 32.08486078125003, 118.7955933889879 32.08486078125003, 118.7957085253421 32.0848021376525, 118.7958686234322 32.08470536638941, 118.7961600161572 32.08451640878498, 118.796637540915 32.08421719650099, 118.7973910387717 32.08373337526607, 118.7973910387717 32.08373337526607, 118.797459430761 32.08381169289926, 118.7975574293854 32.08375089455134, 118.7975576155742 32.08375135685174)"
